text,segment,score,label
"transport everything needed for critical communications, from satellite antenna to routing and switching equipment.",communications,0.997846723,0
four in a row for communicate technology as they are listed as one of ft europe’s fastest-growing companies again.,communications,0.997748017,0
"since pika technologies has created, sold and supported products that enable global telephony, fax and communications solutions.",communications,0.997505188,0
"communications systems include paging, nurse call, intercom, video conferencing, digital signage, streaming media, network infrastructure, and professional sound.",communications,0.997504056,0
full fibre | fttp broadband | fibre to the premises | bt,communications,0.997460485,
"you demand performance, you expect protection. rest assured that our network services deliver. we provide ample bandwidth with guaranteed availability, reliable private network connections to isps and cloud providers. as a division of bell canada, canada's largest communications company, we take your connectivity needs very seriously.",communications,0.997257888,
sorenson communications was founded on the premise that access to communication is a fundamental right for all people.,communications,0.997222364,1
"eric yuan founded zoom in to deliver happiness and bring teams together to get more done in a frictionless video environment. zoom’s video-first unified communications platform continues to dramatically transform the way leading global enterprise companies communicate. under eric’s leadership, zoom was one of the highest-performing tech ipos of",communications,0.99703908,1
document automation patient engagement healthcare labels healtchare promotional marketing hospital signs and graphics hospital wristbands patient communications boards,communications,0.996993244,
"“razorblue have transformed the way we work with innovative solutions. not only did they resolve our connectivity issues, we now communicate with each other much more effectively across our sites.”",communications,0.996645808,
ntt communications | ntt com security ntt communications corporation / ntt com security and fireeye provide advanced security defense and response capabilities in japan.,communications,0.996442974,0
stage four of the north island communication enhancement involved more than of trenching the communication duct from al&hellip;,communications,0.995951891,0
relay info (start here) uni-directional dc relays bi-directional dc relays voltage sensitive relays / lvd programmable autonomous relays li battery power-gate battery cut-off switch battery disconnect switch breakers spdt relays dpdt relays volt dc relays programming options remote control programmer legacy relay devices,communications,0.995648921,0
"broadband, wireless networks, network support, cisco support, network cabling, vpn's, satellite broadband",communications,0.995562971,0
communicate plc in control of the fast-changing landscape of business park it operations. communicate plc acquires landscape networks to add strong it security capabilities to this rapid growth business model,communications,0.995532453,0
"want to make a difference? join sorenson communications, the nation’s leading provider of video relay services. see what we have to offer.",communications,0.995115697,1
installing comms when mobilising a new site is a difficult task and trying to resolve connectivity issues from miles away is even tougher. let us take that responsibility from you.,communications,0.994870424,0
"taking out a phone contract is a form of borrowing – your network provider ‘loans’ you a bundle of calls, texts and data and you pay them back month-by-month. if you always pay your monthly sim only contract on time, your credit score could improve. be aware that if you miss your monthly repayments, your credit score could also go down.",communications,0.994613886,1
"richardson pioneer assiniboia junction hwys & assiniboia, sk phone: fax: read more ...",communications,0.994499087,0
this international bank equipped all its agencies to better engage with its clients and prospects with appealing and modern communication.,communications,0.994395137,0
"commell are never behind the curve when it comes to the release of motherboards incorporating the latest industrial micro-processor technologies – and generation, ‘tiger lake’ is no exception. as…",communications,0.994153678,0
macquarie telecom group wins best customer experience in the world,communications,0.994068444,1
overall communication is good with first line teams and action on items is very prompt on the resolution of raised tickets.,communications,0.993698895,0.5
text messaging confirmation on dispatch and arrival keeps you in the loop so you will always know where your car is.,communications,0.993427455,0
how can i find out what broadband speed i could get?,communications,0.99310708,0
tees valley’s communicate technology ltd has received national recognition as one of the best places to work in the property sector by property week,communications,0.993097901,0
"""txp, txp btc, txp connection, txp btc connection, threaded, coupled, threaded and coupled, threaded & coupled, intermediate casing, production casing, liners, tubing, legacy, buttress compatible, btc compatible, compatible with api, api compatible, tenarisxp, api""",communications,0.993079007,0
"richardson pioneer hamlin box north battleford, sk phone: toll-free: fax: read more ...",communications,0.992860913,0
our pfrn communications allows for secure and quick connection to all control cards on the network. our advanced power distribution (poe) provides loop power to transmitters and our remote modules. the network allows users to connect multiple appliances for local display at a remotely mounted user interface,communications,0.992620349,0
#NAME?,communications,0.99242574,1
how much more connected will your staff or students feel when you start using video in new and engaging ways? how might the mood and culture of your organisation change? get in touch for a friendly chat about how we can help you meet your communication goals and add value to your organisation.,communications,0.992327631,1
"mini slots for wifi + bluetooth, and tv tuner board options",communications,0.992319286,0
channel chief lori cornmesser jumps to network identity player infoblox,communications,0.992260456,0
bharti joins forces with siemens to market telephone terminals under siemens and beetel brand names.,communications,0.991889358,0
ktm press release - recall action for ktm adventure and super enduro r models,communications,0.991673172,0
mice + keyboards mice + keyboards mice combos keyboards ipad keyboards tablet keyboards presentation remotes presentation remotes spotlight all presentation remotes mobile devices mobile devices ipad keyboards ipad accessories tablet keyboards smartphone accessories wireless charging wireless charging wireless phone chargers streaming streaming streamcam webcams green screen streaming packages all streaming gear smart home smart home harmony remotes base charging stand home security home security circle view camera circle view doorbell headsets headsets wired headsets wireless headsets headset webcam kits speakers speakers bluetooth speakers computer speakers surround sound systems video conferencing video conferencing conference cameras conference room solutions desk solutions accessories webcams logitech sync device management gaming gaming gaming mice gaming mouse pads gaming keyboards gaming audio streaming gear driving space flight farm gamepads apparel & gear,communications,0.991274178,0
touchdown offices limited part of the communicate plc group has donated vital funds to scarborough and ryedale mountain rescue team.,communications,0.991230249,0
complete wifi | wifi extender & booster | wifi in every room | bt,communications,0.99076885,0
"our objective is to allow mobile network operators to deploy and expand their wireless networks quickly and efficiently in the most feature-rich, future-proof and cost-effective way.",communications,0.990475953,0
"enable telephone calls from lifesize room systems by connecting to sip pbx solutions like alcatel lucent, amazon chime, avaya, cisco, jive, mitel, on-sip, ringcentral, shoretel, vonage business and others.",communications,0.989869118,1
ktm press release - safety warning for ktm motocross and enduro models,communications,0.989547312,0
"we've worked hard to make the impossible possible, by connecting some of the most remote reaches of alaska to the rest of the world. we need trailblazers with a can-do spirit who will continue to elevate and move us forward into the future.",communications,0.989353716,0
"pika has been serving companies around the world that require enabling technologies to design and build sophisticated services for voice recording systems, voice services applications, pc-pbx systems, and fax-blasting systems.",communications,0.989247859,1
"corporate video for corporate comms, in-house productions, education, and training.",communications,0.989219904,0
see how citrix is responding to get business updates and resources,communications,0.988488376,0.5
"satellite operators, telecommunications providers, broadcasters, and the military rely on kratos as their strategic supplier of end-to-end enterprise products.",communications,0.988164186,0
a message from we can even posted on december december,communications,0.988106191,0
network pioneers: marcatel secures the first mef carrier ethernet certification in mexico,communications,0.987667918,0
'austal giving' supports telethon kids institute djaalinj waakinj ear portal program,communications,0.987279534,0
"contractors are an integral part of denbury’s business, and the well-being and safety of our contractor partners is equally as important as the safety of denbury’s employees. our employees’ engagement with contractors about safety is a standard practice. contractor orientations and pre-job safety reviews promote both a safe work environment and clear communications.",communications,0.987155318,0
apply today and stand to get a pair of sony bluetooth wireless headphones.,communications,0.987151265,0
"as well as strong wi-fi at home, our superfast fibre broadband gives you unlimited access to more than million bt wi-fi hotspots around the uk.",communications,0.985800922,0
leading vms provider to showcase video synopsis® at isc west,communications,0.98571831,0
public notice - disclosure on liquidity risk as on march,communications,0.98535943,0
live feed & digital signage live information and live video,communications,0.985024214,1
make sure your smartphone is paired to your vehicle via bluetooth.,communications,0.984940469,0.5
"deals in mobile phones & accessories see more black friday deal £ . - £ . up to off anker chargers, cables and more black friday deal £ . - £ . up to off arlo ultra and pro security cameras black friday deal £ . - £ . up to off renewed apple iphones and ipads black friday deal £ . - £ . up to off apple watch series and apple accessories black friday deal £ . - £ . up to off mobile accessories, wireless charging and phone cases from belkin and otterbox black friday deal £ . - £ . up to off on smartphones and handsets from samsung, oneplus, xiaomi and more black friday deal £ . lamicall phone stand, universal iphone stand for desk",communications,0.984630883,1
"press releases april mckesson announces n. anthony coles, m.d. will not stand for re-election to mckesson board of directors april nulibry (fosdenopterin), first and only fda-approved therapy to reduce the risk of mortality in patients with molybdenum cofactor deficiency type a, available exclusively at biologics by mckesson april mckesson corporation to announce fourth quarter fiscal results on may april the us oncology network continues its rapid growth and enhances surgical expertise with addition of physicians from texas colon & rectal specialists as a part of texas oncology all press releases",communications,0.984462798,0
"due to the challenging times we’re all experiencing, we’re dealing with a much higher number of calls from customers than normal and our call times are much longer than usual.",communications,0.983558416,0
> learn more about relay > learn more about wavello,communications,0.983515978,1
watch: a brand is trying to build its equity by reminding indians to exercise ‘liberty’ responsibly,communications,0.983498693,0
bharti launches delhi's first gsm mobile services under the airtel brand.,communications,0.983289838,1
"whatever your business, you can build preference, loyalty and bottom line results by strengthening the brand experience through effective communication, delivered efficiently.",communications,0.982874274,0
walk the talk: park point attracts with walkable lifestyle offers,communications,0.982641995,0
"in emergency situations, the safety of building occupants and first responders often depends on the reliable availability of firefighter, ems and police two-way radio communications. however, the same modern building materials that result in high energy efficiency impede the ubiquitous outdoor wireless signals from entering the building.",communications,0.982478261,0
the leading multi-channel specialist electrical and telecommunications retailer in norway.,communications,0.981761694,0.5
we will manage all communications with your current supplier should you choose to move.,communications,0.981248915,1
"throughout these years sapec has acquired the know-how and experience in systems of video compression and its interface with telecommunications networks (fiber optic, sdh, ip, etc.) to optimize the main requirements of customers and at the same time allow the interoperability of systems with their own technology.",communications,0.981155336,1
startech.com latching round sata to right angle sata serial ata cable,communications,0.980834305,0
some smart wifi linksys routers may need a password reset,communications,0.980750322,0
"personal information and vehicle location, driving, health, screen and voice",communications,0.980655193,0.5
"yealink establishes strategic cooperation with top operators such as verizon, at&t, british telecom, kpn, proximus, and vodafone",communications,0.980470479,1
historically the three counties show grounds had a fibre network around the perimeter of their site with additional microwave point to point links providing access… jasmine,communications,0.979659021,0
communicate important messages to your visitors using a digital signage network designed by janus displays. view industry,communications,0.979538262,0
"op n works best in an ego-free zone—working with partners, other technology providers, open apis, and more—to make networks the best that they can be.",communications,0.979306698,0
the leading multi-channel specialist electrical and telecommunications retailer in finland.,communications,0.977909625,0.5
call us and let us know how we can help you,communications,0.977851748,0
